Ticker,date,open,high,low,close,volume
BEL,2024-04-22,236.000000,236.150000,232.300000,233.300000,17549094
BEL,2024-04-23,234.250000,236.100000,231.750000,234.350000,19202860
BEL,2024-04-24,235.250000,239.150000,234.100000,236.500000,33392337
BEL,2024-04-25,236.400000,240.050000,235.450000,237.600000,16197834
BEL,2024-04-26,238.500000,241.650000,237.900000,238.950000,20473627
BEL,2024-04-29,240.150000,240.200000,234.850000,235.400000,19876408
BEL,2024-04-30,236.300000,237.300000,233.200000,233.750000,14514418
BEL,2024-05-02,234.700000,237.400000,230.750000,234.750000,19171145
BEL,2024-05-03,237.100000,238.000000,231.150000,234.100000,15782582
BEL,2024-05-06,235.100000,235.850000,230.000000,231.850000,32422021
BEL,2024-05-07,232.500000,235.800000,225.450000,227.400000,26418769
BEL,2024-05-08,227.200000,232.650000,224.600000,231.600000,18952985
BEL,2024-05-09,234.500000,238.200000,225.300000,226.200000,35229412
BEL,2024-05-10,227.900000,228.500000,223.150000,227.100000,18478580
BEL,2024-05-13,228.400000,228.700000,221.000000,224.750000,32874369
BEL,2024-05-14,225.750000,231.900000,225.750000,230.950000,23191411
BEL,2024-05-15,231.800000,234.500000,229.550000,232.850000,33045920
BEL,2024-05-16,234.750000,240.000000,227.500000,237.900000,55556781
BEL,2024-05-17,241.000000,249.650000,237.850000,248.200000,82231249
BEL,2024-05-18,251.500000,260.600000,250.050000,258.800000,23619459
BEL,2024-05-21,283.000000,283.000000,271.050000,274.150000,127035921
BEL,2024-05-22,277.000000,284.500000,264.300000,283.600000,85801218
BEL,2024-05-23,286.300000,293.300000,283.200000,288.500000,70631009
BEL,2024-05-24,288.000000,299.900000,286.000000,297.200000,63609206
BEL,2024-05-27,301.750000,303.200000,289.650000,294.450000,49890427
BEL,2024-05-28,295.700000,295.750000,285.050000,289.100000,33893805
BEL,2024-05-29,285.400000,293.950000,285.000000,292.150000,31645904
BEL,2024-05-30,293.000000,296.300000,289.650000,290.650000,42769599
BEL,2024-05-31,294.200000,297.200000,286.300000,295.950000,51397345
BEL,2024-06-03,323.000000,323.000000,309.300000,318.650000,67256146
