Ticker,close,date,high,low,month,open,volume
TITAN,3621.15,2024-09-03 05:30:00,3634.90,3560.15,2024-09,3587.55,1112614
TITAN,3607.70,2024-09-04 05:30:00,3617.50,3568.20,2024-09,3586.10,529856
TITAN,3722.85,2024-09-05 05:30:00,3753.95,3600.40,2024-09,3616.60,3437885
TITAN,3695.50,2024-09-06 05:30:00,3742.00,3665.00,2024-09,3714.95,1408795
TITAN,3684.55,2024-09-09 05:30:00,3724.45,3653.75,2024-09,3690.10,923357
TITAN,3727.40,2024-09-10 05:30:00,3750.00,3666.00,2024-09,3704.00,1109078
TITAN,3711.10,2024-09-11 05:30:00,3743.50,3700.10,2024-09,3731.90,831810
TITAN,3764.25,2024-09-12 05:30:00,3774.00,3711.10,2024-09,3736.00,1337327
TITAN,3767.00,2024-09-13 05:30:00,3799.85,3740.00,2024-09,3777.00,1003355
TITAN,3740.65,2024-09-16 05:30:00,3789.00,3735.40,2024-09,3768.00,386602
TITAN,3767.40,2024-09-17 05:30:00,3777.00,3727.30,2024-09,3759.90,392339
TITAN,3725.35,2024-09-18 05:30:00,3786.00,3708.00,2024-09,3769.00,420638
TITAN,3780.95,2024-09-19 05:30:00,3795.00,3741.10,2024-09,3750.00,945257
TITAN,3797.20,2024-09-20 05:30:00,3819.00,3740.00,2024-09,3793.00,1951755
TITAN,3820.10,2024-09-23 05:30:00,3829.00,3781.00,2024-09,3797.20,530107
TITAN,3784.90,2024-09-24 05:30:00,3839.90,3781.55,2024-09,3818.00,1281513
TITAN,3737.25,2024-09-25 05:30:00,3803.55,3710.05,2024-09,3800.00,942343
TITAN,3757.55,2024-09-26 05:30:00,3777.15,3701.40,2024-09,3738.00,1863893
TITAN,3816.70,2024-09-27 05:30:00,3867.00,3751.20,2024-09,3774.00,2164755
TITAN,3823.95,2024-09-30 05:30:00,3863.55,3786.00,2024-09,3786.00,1068609
TITAN,3775.95,2024-10-01 05:30:00,3837.95,3757.00,2024-10,3823.95,774221
